productId,sku,fromDepartment,toCategory,decidedBy,alsoMatched,title
"cmszrdeiw020c04l73r4gejmb","101246","refrigeration","mini-fridge","title","","מקרר קובייה שטארק STKRO1446RW 46 ליטר עם תא הקפאה פנימי - לבן"
"cmszrdehi020904l7l7w8tf6d","101446","refrigeration","mini-fridge","title","","מקרר קובייה שטארק STKRO1446BG 46 ליטר עם דלת זכוכית שקופה - שחור"
"cmszrdjos029o04l7uo4cii9c","100098","refrigeration","fridge-4-door","description","fridge-bottom-freezer","שטארק RQ58B"
"cmszrdmp702fr04l7vw7kl0wz","106961","refrigeration","fridge-4-door","description","fridge-bottom-freezer","מילה KF96NVPEAL"
"cmszrdhss026e04l73mqfq6zt","101097","refrigeration","fridge-4-door","description","fridge-bottom-freezer","מילה KF96NAXEA"
"cmszrdjno029l04l7mga9tiaw","100097","refrigeration","fridge-4-door","description","fridge-bottom-freezer","שטארק RQ58S"
"cmszrdjvl02a204l7ozsgepz4","108456","refrigeration","fridge-4-door","description","fridge-bottom-freezer","שטארק HRF4560FB"
"cmszrdmsl02g004l7fhkj5xtu","111812","refrigeration","freezers","description","","מילה GI81NACE0"
"cmszrdhec025a04l7zodvcthc","0526","refrigeration","fridge-4-door","description","fridge-bottom-freezer","Bompani 8300XP"
"cmszrdolt02jz04l7hy6poeov","108950","refrigeration","fridge-4-door","description","fridge-bottom-freezer","שארפ ראלקו SJ8950SL"
"cmszrdp5102kv04l7meh6af5i","109731","refrigeration","fridge-bottom-freezer","description","","מקרר 5 דלתות שארפ Sharp SJ-9731 נפח 668 ליטר עם תא גמיש, J-Tech Inverter ויצרן קרח - זכוכית שחורה"
"cmszrdf7g021f04l7men5r8b5","110309","refrigeration","mini-fridge","description","","מקרר משקאות ויטרינה דלונגי De'Longhi DLRSC309WG נפח 309 ליטר עם דלת זכוכית כפולה"
"cmszrdix5028704l72tbbw6vv","100714","refrigeration","fridge-integrated","description","fridge-bottom-freezer","GENERAL GE71BINFR"
"cmszrdjpw029r04l7vy5z5ckc","103211","refrigeration","fridge-4-door","description","fridge-bottom-freezer","שטארק RQ58BG"
"cmszrdhuz026i04l71vph5sgu","100604","refrigeration","fridge-integrated","description","fridge-bottom-freezer","ברטזוני REF604PTC"
"cmszrdgyg024i04l7ga5d7v93","100929","refrigeration","fridge-4-door","title","","מקרר 4 דלתות LG GR-929B בנפח 872 ליטר עם LinearCooling ו-ThinQ — נירוסטה מושחרת"
"cmszrdnwp02ik04l77m69ghkr","100921","refrigeration","fridge-4-door","title","","מקרר 4 דלתות Samsung RF82DG9621SR בנפח 819 ליטר עם Beverage Center ו-Triple Cooling — כסוף"
"cmszrdfht022704l72atvnbac","0517","refrigeration","wine-fridge","description","fridge-integrated","אימפריאל JCF88 IX"
"cmszrdfef021x04l7aemhdh9c","101058","refrigeration","wine-fridge","description","fridge-integrated","אימפריאל JCF58 IX"
"cmszrdk3v02al04l7pdy0euhp","108321","refrigeration","fridge-4-door","description","fridge-bottom-freezer","שטארק HRF 7100FB"
"cmszrdm2m02e504l7kq92vfcc","106356","refrigeration","fridge-4-door","description","fridge-bottom-freezer","מידאה 6356"
"cmszrdnlr02i504l7crpb6j7v","107011","refrigeration","fridge-4-door","description","fridge-bottom-freezer","סמסונג RF59C701EB1"
"cmszrdibm027c04l704na4vb1","101619","refrigeration","fridge-integrated","description","fridge-bottom-freezer","בקו NRKI619EA3"
"cmszrdjxo02a504l7f8zhmwzv","103494","refrigeration","fridge-4-door","description","fridge-bottom-freezer","שטארק HRF 4494FB"
"cmszrdnrx02ib04l7qdj77l3g","103631","refrigeration","fridge-4-door","description","fridge-bottom-freezer","סמסונג RM70F63REW"
"cmszrdp8t02l204l74ax6rk7m","0553","refrigeration","fridge-bottom-freezer","description","","מקרר שארפ SJ-9733 5 דלתות 668 ליטר עם תא גמיש, יצרן קרח ואישור צומת - זכוכית סילבר"
"cmszrdjyt02a804l7fzdnrcwz","109555","refrigeration","fridge-4-door","description","fridge-bottom-freezer","שטארק HRF 5500FB"
"cmszrdgw4024c04l7w7cn8x48","100730","refrigeration","fridge-4-door","description","fridge-bottom-freezer","ASKO י שלום GR730BINS"
"cmszrdeds020004l70qeufbu6","0512","refrigeration","wine-fridge","description","mini-fridge","Premier PR96VB"
"cmt5q6fd201kn04l2caicl1vd","0690","refrigeration","fridge-4-door","description","fridge-bottom-freezer","מקרר שארפ SJ-9630BS 5 דלתות 668 ליטר עם תא גמיש ואישור צומת - נירוסטה בהירה"
"cmszrdnxz02in04l7av00mebm","0546","refrigeration","fridge-4-door","title","","מקרר 4 דלתות Samsung Bespoke RF88DB9623BK בנפח 819 ליטר עם Beverage Center ו-Triple Cooling — זכוכית שחורה"
"cmszrdnuf02ie04l7wq0mrr0b","108962","refrigeration","fridge-4-door","title","","מקרר 4 דלתות Samsung RF72DG9620B1 בנפח 646 ליטר עם Triple Cooling ו-Beverage Center — שחור פחם"
"cmszrdnvl02ih04l7jqd56mp7","102356","refrigeration","fridge-4-door","title","","מקרר 4 דלתות Samsung RF72DG9620SR בנפח 646 ליטר עם Triple Cooling ו-Beverage Center — כסוף"
"cmszrhwe1005a04iee31h6gmj","770004","small-kitchen-appliances","milk-frothers","title","","קאסו מקציף חלב שקוף דגם CASO CAPPU LATTE"
"cmszrhwab004z04iespaqnqnx","710008","small-kitchen-appliances","mixers","title","","קאסו מיקסר 6 ליטר 1800W דגם CASO KM1800 BLACKE"
"cmszrhwgj005g04iegbgnpvx3","750005","small-kitchen-appliances","kettles","title","","קאסו קומקום חשמלי דגם CASO SELECTION WK2200"
"cmszrhulo001804iefrqgh5lx","856860","small-kitchen-appliances","meat-grinders","title","","בוש מטחנת בשר 2200W דגם MFW68660"
"cmszrhv3s002h04ier3byv9t7","769216","small-kitchen-appliances","air-fryers","title","","פיליפס סיר טיגון מכני HD9216/80 מכני - לבן"
"cmszrhuwd001z04ie1fyx6sd4","746633","small-kitchen-appliances","juicers","title","","הימלטון ביץ' מסחטת רימונים והדרים דגם 66334 -IS"
"cmszrhuo0001e04ie9qze6bf6","856138","small-kitchen-appliances","meat-grinders","title","","DAVO מטחנת בשר 2200W דגם DAV6138"
"cmszrhutz001s04iebx1kp617","740722","small-kitchen-appliances","juicers","title","","בוש מסחטת הדרים דגם MCP72GPW לבן"
"cmszrhvix003604iexxi40yy5","798821","small-kitchen-appliances","hot-plates","title","","סול כירה אינדוקציה יחיד דגם SL-7766I"
"cmszrhve2002z04ievbhspwuu","781160","small-kitchen-appliances","hot-plates","title","","סמיקום פלטה שבת 6 סירים דגם HAP-600"
"cmszrhuqa001k04ie047gsdsq","854846","small-kitchen-appliances","meat-grinders","title","","מורפי ריצ'ארד מטחנת בשר ודגים 1800W דגם 48466"
"cmszrhuyy002704ie4fghtvdg","741556","small-kitchen-appliances","juicers","title","","TECHWOOD מסחטת מיצים דגם TCFI-1556"
"cmszrhvch002w04ie2x9n1nrl","780401","small-kitchen-appliances","hot-plates","title","","סאוטר פלטה לשבת 6 סירים דגם PS600 בכשרות מהודרת"
"cmszrhvb5002t04ie3p0m99fj","780400","small-kitchen-appliances","hot-plates","title","","סאוטר פלטה לשבת 4 סירים דגם PS400 בכשרות מהודרת"
"cmszrhwfb005d04iemejhquhs","850001","small-kitchen-appliances","coffee-grinders","title","","קאסו מטחנת קפה ותבלינים דגם CASO"
"cmszrhv7w002n04iej3vb4vp5","791125","small-kitchen-appliances","hot-plates","title","","הימלטון פלטה לשבת 4 סירים דגם HEM-7013 זכוכית"
"cmszrhwj1005m04ierppeoeb5","740004","small-kitchen-appliances","juicers","title","","קאסו מסחטת מיץ דגם CASO JUICE FIT"
"cmszrhwhu005j04iebtja50si","740003","small-kitchen-appliances","juicers","title","","קאסו מסחטת מיץ דגם CASO JUICE FIT PRO"
"cmszrhv0n002b04ien90dnsvv","740011","small-kitchen-appliances","juicers","title","","נוטרי בוליט מסחטת מיץ Nutribullrt JUICER PRO 1400W"
"cmszrhuxo002304ie4wlbk6ko","740012","small-kitchen-appliances","juicers","title","","THE JUICER - מסחטת הדרים ורימונים 340W"
"cmszrhvha003204ierem7s9ga","790010","small-kitchen-appliances","hot-plates","title","","מייסטר כירה חשמלית יחיד  דגם MK10B שחור"
"cmszrhv1x002e04iefe74c3il","748182","small-kitchen-appliances","juicers","title","","מורפי ריצ'ארד מסחטת איטית !!! הדר וקשים דגם 48182"
"cmszrhusc001o04iem6csjrwd","864830","small-kitchen-appliances","bread-makers","title","","מורפי ריצארד אופה לחם דיגטלי דגם 48297"
"cmszrhv6c002k04iepso3p3rn","790269","small-kitchen-appliances","hot-plates","title","","הימלטון פלטה לשבת 4 סירים דגם 270"
"cmszrhuv6001w04ieadh28ymg","740841","small-kitchen-appliances","juicers","title","","המילטון מסחטת הדרים 100W דגם 841"
"cmszrhup5001h04iexa5bauj0","856139","small-kitchen-appliances","meat-grinders","title","food-processors","DAVO מטחנת בשר + סט קוצץ ירקות 2200W דגם DAV6139"
"cmszrhvs3003p04ierrn3a1g9","875499","small-kitchen-appliances","air-fryers","description","","בנטון מולטי שף דגם BT-5899"
"cmszrhumt001b04ieldu29px2","850250","small-kitchen-appliances","meat-grinders","title","","בורמן מטחנת בשר 2200W דגם B2500"
"cmszrhv9w002q04ielrfavciu","791090","small-kitchen-appliances","hot-plates","title","","מולדת פלטה לשבת דגם ML-1090 משטח זכוכית 6 סירים"
"cmszribh0015b04ie07cerlyi","802330","personal-care","hair-curlers","title","","בייביליס - מסלסל קרמי דגם BA-2330"
"cmszriajr013504ie0k3h96ck","805833","personal-care","shavers","title","","פליפס מכונת גילוח דגם S5883 אדום"
"cmszriar1013q04ie8w1cdwd1","805580","personal-care","hair-clippers","title","","פילפס מכונת תספורת כולל קרחת דגם QC5580"
